id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
2073,DAOS,small_airport,"Sidi Bel Abbes Airport",35.1717987061,-0.593275010586,1614,AF,Algeria,DZ,"Sidi Bel Abbes Province",DZ-22,22,"Sidi Bel Abbès",0,DAOS,BFW,,,https://en.wikipedia.org/wiki/Sidi_Bel_Abb%C3%A8s_Airport,,50,2014-08-07T19:44:01+00:00
430155,DZ-0028,small_airport,"Oued Zine Airport",28.141556,0.244846,,AF,Algeria,DZ,"Adrar Province",DZ-01,01,Tamentit,0,,,,,,,50,2022-09-26T03:49:01+00:00
430156,DZ-0029,small_airport,"Oued Zine North Airport",28.21292,0.20262,,AF,Algeria,DZ,"Adrar Province",DZ-01,01,Tamentit,0,,,,,,,50,2022-09-26T03:49:44+00:00
430169,DZ-0038,small_airport,"Oued Zine East Airport",28.11892,0.32861,,AF,Algeria,DZ,"Adrar Province",DZ-01,01,Tamentit,0,,,,,,,50,2022-09-26T05:43:55+00:00
430170,DZ-0039,small_airport,"Touat Oil Airport",27.81997,0.23896,,AF,Algeria,DZ,"Adrar Province",DZ-01,01,Tamentit,0,,,,,,,50,2022-09-26T05:46:00+00:00
30872,DAAM,small_airport,"Telerghma Airport",36.1087,6.3646,2484,AF,Algeria,DZ,"Mila Province",DZ-43,43,Telerghma,0,DAAM,,,,https://en.wikipedia.org/wiki/Telergma_Airport,,50,2024-05-18T14:53:22+00:00
430159,DZ-0030,small_airport,"Tin Zaoutine Airport",19.99369,3.0223,,AF,Algeria,DZ,"In Guezzam Province",DZ-58,58,"Tin Zaoutine",0,,,,,,,50,2022-09-27T14:25:59+00:00
351623,DZ-0014,heliport,"Cherchell Military Academy Heliport",36.59431,2.20544,669,AF,Algeria,DZ,"Tipaza Province",DZ-42,42,Cherchell,0,,,,,,,0,2022-01-19T11:11:02+00:00
312729,DZ-0003,closed,"Old Djanet Airport",24.442086,9.513519,,AF,Algeria,DZ,"Djanet Province",DZ-56,56,Djanet,0,,,,,,,0,2022-09-27T14:24:44+00:00
341281,DZ-0008,heliport,"Ain Naadja Military Hospital Helipad",36.72064,3.06608,,AF,Algeria,DZ,"Algiers Province",DZ-16,16,"Djasr Kasentina",0,,,,,,,0,2021-02-23T16:26:27+00:00
341279,DZ-0006,closed,"Guelma Belkheir Airport",36.451942,7.470961,,AF,Algeria,DZ,"Guelma Province",DZ-24,24,Guelma,0,,,,,,,0,2022-09-13T13:46:01+00:00
430149,DZ-0022,heliport,"El Moustakbal Base Heliport",31.56469,6.18784,,AF,Algeria,DZ,"Ouargla Province",DZ-30,30,"Hassi Messaoud",0,,,,,,,0,2022-09-26T03:13:59+00:00
430163,DZ-0033,heliport,"Tarat Heliport",26.20509,9.3912,,AF,Algeria,DZ,"Illizi Province",DZ-33,33,Illizi,0,,,,,,,0,2022-09-26T05:04:31+00:00
341282,DZ-0009,heliport,"Algiers Great Mosque Heliport",36.73459,3.14417,,AF,Algeria,DZ,"Algiers Province",DZ-16,16,Mohammadia,0,,,,,,,0,2021-02-23T16:28:37+00:00
351624,DZ-0015,closed,"Tipaza Aeroclub",36.58291,2.10286,40,AF,Algeria,DZ,"Tipaza Province",DZ-42,42,"Sidi Ghiles",0,,,,,,,0,2022-01-19T11:14:02+00:00
312615,DABP,closed,"Skikda Airport",36.8641,6.9516,27,AF,Algeria,DZ,"Skikda Province",DZ-21,21,Skikda,0,,,,,https://en.wikipedia.org/wiki/Skikda_Airport,"DABP, SKI, Philippeville Airfield",0,2021-05-09T23:18:30+00:00
430161,DZ-0032,heliport,"Tawendert Heliport",20.37853,2.46094,,AF,Algeria,DZ,"In Guezzam Province",DZ-58,58,Tawendert,0,,,,,,,0,2022-09-27T14:27:23+00:00
341283,DZ-0010,heliport,"Timiaouine Heliport",20.439241,1.825415,,AF,Algeria,DZ,"Bordj Baji Mokhtar Province",DZ-52,52,Timiaouine,0,,,,,,,0,2022-09-27T14:45:28+00:00
430160,DZ-0031,heliport,"Tin Zaoutine Heliport",19.96527,2.96141,,AF,Algeria,DZ,"In Guezzam Province",DZ-58,58,"Tin Zaoutine",0,,,,,,,0,2022-09-27T14:26:19+00:00
341284,DZ-0011,closed,"Tinerkouk Airstrip",29.80322,0.60902,,AF,Algeria,DZ,"Timimoun Province",DZ-54,54,Tinerkouk,0,,,,,,,0,2022-09-27T14:36:58+00:00
341280,DZ-0007,heliport,"Zéralda Hospital Helipad",36.70129,2.84373,,AF,Algeria,DZ,"Algiers Province",DZ-16,16,Zéralda,0,,,,,,,0,2021-02-23T16:24:17+00:00
